id,primary_topic_openai,primary_subtopic_openai,confidence_openai,secondary_concepts_openai,reasoning_openai,primary_topic_claude,primary_subtopic_claude,confidence_claude,secondary_concepts_claude,reasoning_claude
909,Social,Language,0.95,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}, {'topic': 'Demographic', 'subtopic': 'Foreign Born'}]","Asks whether enrolled students have been identified as English language learners (LEP/ELL), which pertains to student language status; foreign-born status is a related demographic.",Social,Language,0.91,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question asks about English language learners (ELL/LEP) enrollment, which directly relates to language proficiency and educational services."
940,Social,School Enrollment,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'Education'}]","Asks for the count of students enrolled in a specific grade at a point in time, which is directly school enrollment data; related to school and education context.",Social,School Enrollment,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question directly asks about student enrollment numbers in a specific grade at a point in time, which is a core school enrollment metric."
941,Social,Education,0.85,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}, {'topic': 'Social', 'subtopic': 'Schools'}]","Asks whether any students graduated with a diploma, a school outcome metric tied to education and enrollment/graduation status.",Social,School Enrollment,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'Post-Secondary Education'}]","Question asks about graduation outcomes from 12th grade, which relates to school enrollment and educational progression."
942,Social,Education,0.9,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}, {'topic': 'Social', 'subtopic': 'Schools'}]","Requests a count of graduates from 12th grade, an educational outcome related to school records and enrollment cohorts.",Social,School Enrollment,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'Post-Secondary Education'}]","Question asks for count of 12th grade graduates with diplomas, which is a school completion and enrollment outcome metric."
943,Social,Post-Secondary Education,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}]","Asks about the percentage of graduates who went on to four-year colleges, which concerns post-secondary enrollment pathways.",Social,Post-Secondary Education,0.92,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}, {'topic': 'Social', 'subtopic': 'Schools'}]","Question asks about the percentage of high school graduates attending four-year colleges, which directly measures post-secondary education enrollment."
944,Social,Schools,0.85,"[{'topic': 'Economic', 'subtopic': 'Hours/Week, Weeks/Year'}]","Requests the official start and end times for most students, a school schedule characteristic; related to time/hours scheduling metrics.",Social,Schools,0.85,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question asks about school operational hours/schedule, which is a characteristic of school operations and structure."
945,Social,Schools,0.85,"[{'topic': 'Economic', 'subtopic': 'Hours/Week, Weeks/Year'}]","Asks how many days are in a typical school week for students, a scheduling attribute of schools tied to days/weeks metrics.",Social,Schools,0.85,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question asks about the number of school days per week, which is a school operational characteristic."
946,Social,Schools,0.9,"[{'topic': 'Economic', 'subtopic': 'Hours/Week, Weeks/Year'}]","Asks for number of days in the school year, a core school scheduling/operational metric related to weeks/days in the academic year.",Social,Schools,0.85,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question asks about the total number of school days in a year, which is a school operational and calendar characteristic."
947,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}]","Asks which description best fits the school (type/characteristics), a classification question about the school's educational category.",Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question asks for school classification/type, which is a fundamental school characteristic used in educational statistics."
948,Social,School Enrollment,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Directly asks whether students are currently enrolled in kindergarten, which is a school enrollment question.",Social,School Enrollment,0.92,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question asks whether the school has kindergarten students enrolled, which is a direct school enrollment question."
949,Social,Schools,0.85,"[{'topic': 'Economic', 'subtopic': 'Hours/Week, Weeks/Year'}]","Asks the length of the school day for kindergarten-level students, a school schedule measure related to hours per day.",Social,Schools,0.85,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question asks about school day length for kindergarten students, which is a school operational characteristic."
950,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Children'}, {'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question asks about the typical school-week schedule for kindergarten/transitional grade students, which is a school operational characteristic affecting children and enrollment.",Social,Schools,0.92,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question directly addresses school operational structure and scheduling for kindergarten/early grade students, which is a schools administration topic."
951,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}]",Asking whether the school has a library media center concerns school facilities/resources relevant to the education environment.,Social,Schools,0.9,[],"Question asks about school facilities and resources (library media center), which is a schools infrastructure and operations topic."
952,Social,COVID-19 Data,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'Education'}]","The question explicitly asks how the coronavirus pandemic affected instruction at the school, directly relating to COVID-19 impacts on schooling and education.",Social,COVID-19 Data,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question explicitly asks about coronavirus pandemic effects on school instruction during 2019-20 school year, directly addressing COVID-19 impacts on education."
953,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Computer & Internet Use'}]","Describing how classes are normally taught (in-person, online, hybrid) is a core school instructional characteristic and relates to education delivery and technology use.",Social,Schools,0.88,"[{'topic': 'Social', 'subtopic': 'Education'}]","Question addresses instructional methods and teaching approaches used at the school, which relates to schools operations and educational practices."
954,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Computer & Internet Use'}]",Whether the school offers classes taught entirely online concerns school instructional offerings and the use of online/Internet-based instruction.,Social,Schools,0.89,"[{'topic': 'Social', 'subtopic': 'Education'}]","Question asks about online instruction offerings at the school, which is a schools operations and educational delivery method topic."
955,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Computer & Internet Use'}, {'topic': 'Social', 'subtopic': 'School Enrollment'}]","Asking the percentage of students enrolled in at least one online class measures student participation in online instruction, tying to school enrollment and technology use.",Social,School Enrollment,0.85,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question asks about percentage of students enrolled in online classes, relating to school enrollment patterns and educational delivery methods."
956,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}]",Whether the school offers different instructional approaches is a question about school instructional programs and educational practices.,Social,Schools,0.87,"[{'topic': 'Social', 'subtopic': 'Education'}]","Question asks about instructional approaches offered by the school, which relates to schools educational programs and teaching methodologies."
957,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Language'}, {'topic': 'Social', 'subtopic': 'Education'}]",A dual-language or immersion program is an instructional program offered by the school that directly relates to language instruction and education.,Social,Schools,0.86,"[{'topic': 'Social', 'subtopic': 'Language'}, {'topic': 'Social', 'subtopic': 'Education'}]","Question asks about dual-language and foreign language immersion programs offered by the school, relating to schools specialized educational programs and language instruction."
958,Social,Child Care,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'Education'}]","The question asks about availability of before- and after-school programs and extended-day care, which are child care services provided in school settings.",Social,Schools,0.88,"[{'topic': 'Social', 'subtopic': 'Child Care'}, {'topic': 'Social', 'subtopic': 'Education'}]","Question asks about before/after-school programs and services including academic assistance, enrichment, and extended care, which are schools support services and child care offerings."
