Question,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),Identity Theft Supplement (ITS),Supplemental Victimization Survey (SVS),National Survey of Children’s Health (NSCH),"National Survey of Children's Health Topical Questionaire (Children, 0-5 years)","National Survey of Children's Health Topical Questionaire (Chilren, 6-11)","National Survey of Children's Health Topical Questionaire (Children, 12-17)",National Sample Survey of Registered Nurses (NSSRN),National Teacher and Principal Survey (NTPS) School Questionnaire,National Teacher and Principal Survey (NTPS) Private School Questionnaire,National Teacher and Principal Survey (NTPS) Principal Questionnaire,National Teacher and Principal Survey (NTPS) Private School Principal Questionnaire,National Teacher and Principal Survey (NTPS) Teacher Questionnaire,National Teacher and Principal Survey (NTPS) Private School Teacher Questionnaire,Teacher Follow-up Survey (TFS) Former Teacher Survey,Teacher Follow-Up Survey (TFS) Current Teacher Survey,Principal Follow-up Survey (PFS),Principal Follow-Up Survey School Head/Principal Status Form,School Pulse Panel (SPP),Private School Survey (PSS),National Ambulatory Medical Care Survey (NAMCS),National Health Interview Survey (NHIS),"National Training, Education, and Workforce Survey (NTEWS)",National Survey of College Graduates (NSCG),American Time Use Survey (ATUS),Consumer Expenditure Survey (CE),American Community Survey (ACS),Survey of Income and Program Participation (SIPP),Household Trends and Outlook Pulse Survey (HTOPS),Current Population Survey (CPS),School Survey on Crime and Safety (SSOCS),Census Military Panel (CMP),American Housing Survey (AHS),Survey of Market Absorption (SOMA),Food Acquisition and Purchase Survey (FoodAPS) Initial Interview/Household Survey,Food Acquisition and Purchase Survey (FoodAPS) Profile and Income Questionnaire,Food Acquisition and Purchase Survey (FoodAPS) Debriefing Questionnaire,FoodAPS food Log,Survey of State Government Finances Finances of Insurance Trust Systems,Report of Building or Zoning Permits issued for new privately-ownd housing units,Survey of Residential Building or Zoning Permit Systems,Business and Professional Classifcation Report,Business Enterprise Research and Development Survey,Medical Expenditure Panel Survey Insurance Component
"Between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL, how much did ^TEMPNAME contribute toward this plan?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"In addition to the plan through ^MJBNAME_FIL, did ^TEMPNAME have a pension or cash balance plan provided through a previous employer?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"^MJBNAME_FIL, did ^MJBNAME_FIL have any kind of pension or retirement plans for anyone in ^PTEMPNAME company or organization?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
^C_WASWERE ^TEMPNAME included in such a plan?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Even though ^TEMPNAME ^DODOES not have a retirement plan through a previous job, ^HAVHAS ^TEMPNAME ever been covered by a pension or retirement plan on any previous job or business?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Earlier you reported that ^TEMPNAME had ^PENTYP_FIL through ^MJBNAME_FIL. Which plan is the most important to ^TEMPNAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Did ... own any U.S. Government savings bonds or U.S. Government securities?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"(The next few questions are about assets and other investments, either individually or jointly owned ^INCLCHILDFIL. Between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL, did ^TEMPNAME own, either individually or jointly...) (...any U.S. Government savings bonds or U.S. Government securities?) ...a checking account? (...a savings account?) (^RETIRE_FIL) (...a money market deposit account or fund?) (...any certificates of deposit (that is, CDs)?) (...mutual funds?) (...stocks?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"(The next few questions are about assets and other investments, either individually or jointly owned ^INCLCHILDFIL. Between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL, did ^TEMPNAME own, either individually or jointly...) (...any U.S. Government savings bonds or U.S. Government securities?) (...a checking account?) ...a savings account? (^RETIRE_FIL) (...a money market deposit account or fund?) (...any certificates of deposit (that is, CDs)?) (...mutual funds?) (...stocks?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"(The next few questions are about assets and other investments, either individually or jointly owned ^INCLCHILDFIL. Between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL, did ^TEMPNAME own, either individually or jointly...) (...any U.S. Government savings bonds or U.S. Government securities?) (...a checking account?) (...a savings account?) ^RETIRE_FIL ...a money market deposit account or fund? (...any certificates of deposit (that is, CDs)?) (...mutual funds?) (...stocks?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"(The next few questions are about assets and other investments, either individually or jointly owned ^INCLCHILDFIL. Between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL, did ^TEMPNAME own, either individually or jointly...) (...any U.S. Government savings bonds or U.S. Government securities?) (...a checking account?) (...a savings account?) ^RETIRE_FIL (...a money market deposit account or fund?) ...any certificates of deposit (that is, CDs)? (...mutual funds?) (...stocks?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"(The next few questions are about assets and other investments, either individually or jointly owned ^INCLCHILDFIL. Between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL, did ^TEMPNAME own, either individually or jointly...) (...any U.S. Government savings bonds or U.S. Government securities?) (...a checking account?) (...a savings account?) ^RETIRE_FIL (...a money market deposit account or fund?) (...any certificates of deposit (that is, CDs)?) ...mutual funds? (...stocks?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"(The next few questions are about assets and other investments, either individually or jointly owned ^INCLCHILDFIL. Between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL, did ^TEMPNAME own, either individually or jointly...) (...any U.S. Government savings bonds or U.S. Government securities?) (...a checking account?) (...a savings account?) ^RETIRE_FIL (...a money market deposit account or fund?) (...any certificates of deposit (that is, CDs)?) (...mutual funds?) ...stocks?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Did ... own any municipal or corporate bonds?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Were these municipal or corporate bonds separate from the mutual funds you just told me about?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Did ... own any life insurance policies?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Did ... own any rental property?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Did ... own any real estate such as a vacation home or an undeveloped lot?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Did ... own any annuities and trusts?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Did ... own any businesses as an investment only?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Did ... own any other financial investments?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What 'other' type of financial investment(s) did ... own?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Which assets does ... not own? Universe: VERIFY_ASSET = 2 Question Text: Which assets should not be included on the list?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Did ... own any U.S. Government savings bonds/U.S. Government securities, checking account, savings account, money market (MM) deposit account, CDs, or municipal/corporate bonds jointly?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Who did ... own the U.S. Government savings bonds/U.S.Government securities, interest-earning checking accounts, regular (non-interest earning) checking accounts, savings accounts, money market (MM) deposit accounts, CDs, or municipal/corporate bonds jointly with?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Did ... own any U.S. Government savings bonds/U.S. Government securities, checking accounts, checking accounts, savings accounts, money market (MM) deposit accounts, CDs, or municipal/corporate bonds in his/her own name?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Did ... own any mutual funds or stocks jointly with someone else?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Who did ... own the mutual funds or stocks jointly with?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Did ... have any mutual funds or stocks in his/her own name?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL was anyone in ^PTEMPNAME household the owner or the beneficiary of an educational or college savings account (such as a 529 account)?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
How many educational or college savings accounts does ... (or the household) own?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Who was the owner of the educational or college savings account?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Who was the beneficiary of the educational or college savings account?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"If there is only one person in the household (PCNT= 1) OR the person isn't married (LNSP = <>), then display '(You said that between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL, ^TEMPNAME owned some rental property.) Did ^TEMPNAME own any rental property jointly with someone else?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Who did ... own the rental property jointly with?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"^INADDITIONFIL_OWNRNT ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL, did ^TEMPNAME ^ALSOFIL_OWNRNT own any rental property in ^HISHER name only?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"If there is only one person in the household (PCNT= 1) OR the person isn't married (LNSP = <>), then display '(You said that between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL, ^TEMPNAME owned some real estate such as a vacation home, a deeded timeshare, or an undeveloped lot.) Did ^TEMPNAME own this real estate jointly with someone else?'",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Who did ... own the real estate such as a vacation home, a deeded timeshare, or an undeveloped lot jointly with?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"^INADDITIONFIL_OWNPROP ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL, did ^TEMPNAME ^ALSOFIL_OWNPROP own any real estate (such as a vacation home, a deeded timeshare, or an undeveloped lot) in ^HISHER name only?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What is the model year of ^WHICH_VEHICLE?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What is the make of this vehicle?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What is the model of this vehicle?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Who owns this vehicle as of the last day of ^LASTMONTH, ^CALENDAR_YEAR?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Did ... (or the household) own any cars, vans, or trucks?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"How many cars, trucks, or vans did ... (or the household) own?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Did ... (or the household) own any motorcycles, boats, or recreational vehicles (RVs)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"What type of recreational vehicles (motorcycle, boat, or other RV) did ... (or the household) own?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"What type of recreational vehicles (motorcycle, boat, or other RV) did ... (or the household) own - Other specify?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
How much interest was earned on the assets ... owned jointly with his/her spouse OR his/her spouse and one or more child(ren) under the age of 15 who are living in the household?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the interest earned on the checking account and/or savings account ... owned jointly with his/her spouse OR his/her spouse and one or more child(ren) under the age of 15 who are living in the household?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the total balance or market value of the checking account and/or savings account ... owned jointly with his/her spouse OR his/her spouse and one or more child(ren) under the age of 15 who are living in the household?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the total balance or market value of the checking account and/or savings account ... owned jointly with his/her spouse OR his/her spouse and one or more child(ren) under the age of 15 who are living in the household?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the interest earned on the money market deposit accounts and/or CDs ... owned jointly with his/her spouse OR his/her spouse and one or more child(ren) under the age of 15 who are living in the household?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What is the total balance or market value of the money market accounts and/or CDs ... owned jointly with his/her spouse OR his/her spouse and one or more child(ren) under the age of 15 who are living in the household?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the total balance or market value of the money market accounts and/or CDs ... owned jointly with his/her spouse OR his/her spouse and one or more child(ren) under the age of 15 who are living in the household?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the interest earned on the U.S. Govt. savings bonds/U.S Govt. securities and/or municipal or corporate bonds ... owned jointly with his/her spouse OR his/her spouse and one or more child(ren) under the age of 15 who are living in the household?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the total balance or market value of the U.S. Govt. savings bonds/U.S. Govt. securities and/or municipal or corporate bonds ... owned jointly with his/her spouse OR his/her spouse and one or more child(ren) under the age of 15 who are living in the household?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the total balance or market value of the U.S. Govt. savings bonds/U.S. Govt. securities and/or municipal or corporate bonds ... owned jointly with his/her spouse OR his/her spouse and one or more child(ren) under the age of 15 who are living in the household?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
How much interest was earned on the assets ... owned jointly with ONLY one or more child(ren) under the age of 15?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the interest earned on the checking account and/or savings account ... owned jointly with ONLY one or more child(ren) under the age of 15?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What is the total balance or market value of the checking account and/or savings account ... owned jointly with ONLY one or more child(ren) under the age of 15?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the total balance or market value of the checking account and/or savings account ... owned jointly with ONLY one or more child(ren) under the age of 15?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the interest earned on the money market deposit accounts and/or CDs ... owned jointly with ONLY one or more child(ren) under the age of 15?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the total balance or market value of the money market deposit accounts and/or CDs ... owned jointly with ONLY one or more child(ren) under the age of 15?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the total balance or market value of the money market accounts and/or CDs ... owned jointly with ONLY one or more child(ren) under the age of 15?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the interest earned on U.S. Govt. savings bonds/U.S Govt. securities and/or municipal or corporate bonds ... owned jointly with ONLY one or more child(ren) under the age of 15?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the total balance or market value of the U.S. Govt. savings bonds/U.S. Govt. securities and/or municipal or corporate bonds ... owned jointly with ONLY one or more child(ren) under the age of 15?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the total balance or market value of the U.S. Govt. savings bonds/U.S. Govt. securities and/or municipal or corporate bonds ... owned jointly with ONLY one or more child(ren) under the age of 15?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
How much interest was earned on the assets ... owned jointly with 'other' people as defined in the block-level description?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the interest earned on the checking account and/or savings account ... owned jointly with 'other' people as defined in the block-level description?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the total balance or market value of the checking account and/or savings account ... owned jointly with 'other' people as defined in the block-level description?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the total balance or market value of the checking account and/or savings account ... owned jointly with 'other' people as defined in the block-level description?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the interest earned on the money market deposit accounts and/or CDs ... owned jointly with 'other' people as defined in the block-level description?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the total balance or market value of the money market deposit accounts and/or CDs ... owned jointly with 'other' people as defined in the block-level description?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the total balance or market value of the money market accounts and/or CDs ... owned jointly with 'other' people as defined in the block-level description?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the interest earned on the U.S. Govt. savings bonds/U.S. Govt. securities and/or municipal or corporate bonds ... owned jointly with 'other' people as defined in the block-level description?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the total balance or market value of the U.S. Govt. savings bonds/U.S. Govt. securities and/or municipal or corporate bonds ... owned jointly with 'other' people as defined in the block-level description?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the total balance or market value of the U.S. Govt. savings bonds/U.S. Govt. securities and/or municipal or corporate bonds ... owned jointly with 'other' people as defined in the block-level description?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Earlier I recorded that ^TEMPNAME ^ALSOFIL_ASSETS owned CDs^OWNNAMEFIL_EXCL Were those CDs included in ^PTEMPNAME ^IRA401FIL_EXCL, or did ^HESHE own them separately from any retirement account(s) -- or both?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
How much interest was earned on the assets ... owned in his/her own name?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the interest earned on the checking account and/or savings account ... owned in his/her own name?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the total balance or market value of the checking account and/or savings accounts ... owned in his/her own name?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the total balance or market value of the checking account and/or savings account ... owned in his/her own name?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the interest earned on the money market deposit accounts and/or CDs ... owned in his/her own name?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the total balance or market value of the money market deposit accounts and/or CDs ... owned in his/her own name?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the total balance or market value of the money market accounts and/or CDs ... owned in his/her own name?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of interest earned on the U.S. Govt. savings bonds/U.S. Govt. securities and/or municipal or corporate bonds ... owned in his/her own name?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the total balance or market value of the U.S. Govt. savings bonds/U.S. Govt. securities ... owned in his/her own name?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the total balance or market value of the U.S. Govt. savings bonds/U.S. Govt. securities and/or municipal or corporate bonds ... owned in his/her own name?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the total amount of interest ... earned on all other accounts?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the interest earned on the 'other' checking account and/or savings account ... owned?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the interest earned on the 'other' money market accounts and/or CDs ... owned?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the interest earned on the 'other' U.S. Govt. savings bonds/U.S. Govt. securities and/or municipal or corporate bonds ... owned?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the total balance or market value earned on all of ... other accounts?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the total balance or market value of the 'other' checking account and/or savings account ... owned?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the total balance or market value of the 'other' money market accounts and/or CDs ... owned?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the total balance or market value of the 'other' U.S. Govt. savings bonds/U.S. Govt. securities and/or municipal or corporate bonds ... owned?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What kind of dividends did ... earn from mutual funds and/or stocks he/she owned jointly with his/her spouse OR his/her spouse and one or more child(ren) under the age of 15 who are living in the household?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
How much in dividends was earned on the mutual funds and/or stocks ... owned jointly with his/her spouse OR his/her spouse and one or more child(ren) under the age of 15 who are living in the household?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the income range of the dividends earned on the mutual funds ... owned jointly with his/her spouse OR his/her spouse and one or more child(ren) under the age of 15 who are living in the household?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the total balance or market value of the mutual funds ... owned jointly with his/her spouse OR his/her spouse and one or more child(ren) under the age of 15 who are living in the household?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
